Indicator origin,Indicator,Sex,Age group,Application,Assumption,Source,Year,Notes
POPPI,Living alone,Male,65-69,National prevalence applied,0.2,ONS (Labour Force Survey),2017,"Figures are taken from the Labour Force Survey (2017), Office for National Statistics, Table 6: People living alone by age and sex, UK 1996-2017. For those aged 65 and over, the larger proportion of those living alone were female (66.5%). This is partly because there are more women than men in the total population aged 65 and over due to women’s higher life expectancy. By the age of 65, most women have been married and husbands are typically older than their wives. These two factors mean that more women than men become widowed, which may lead to living alone. In spite of this, the number of widowed women is falling due to life expectancy increasing faster for men compared with women."
POPPI,Living alone,Male,70-74,National prevalence applied,0.2,ONS (Labour Force Survey),2017,"Figures are taken from the Labour Force Survey (2017), Office for National Statistics, Table 6: People living alone by age and sex, UK 1996-2017. For those aged 65 and over, the larger proportion of those living alone were female (66.5%). This is partly because there are more women than men in the total population aged 65 and over due to women’s higher life expectancy. By the age of 65, most women have been married and husbands are typically older than their wives. These two factors mean that more women than men become widowed, which may lead to living alone. In spite of this, the number of widowed women is falling due to life expectancy increasing faster for men compared with women."
POPPI,Living alone,Male,75-79,National prevalence applied,0.29,ONS (Labour Force Survey),2017,"Figures are taken from the Labour Force Survey (2017), Office for National Statistics, Table 6: People living alone by age and sex, UK 1996-2017. For those aged 65 and over, the larger proportion of those living alone were female (66.5%). This is partly because there are more women than men in the total population aged 65 and over due to women’s higher life expectancy. By the age of 65, most women have been married and husbands are typically older than their wives. These two factors mean that more women than men become widowed, which may lead to living alone. In spite of this, the number of widowed women is falling due to life expectancy increasing faster for men compared with women."
POPPI,Living alone,Male,80-84,National prevalence applied,0.29,ONS (Labour Force Survey),2017,"Figures are taken from the Labour Force Survey (2017), Office for National Statistics, Table 6: People living alone by age and sex, UK 1996-2017. For those aged 65 and over, the larger proportion of those living alone were female (66.5%). This is partly because there are more women than men in the total population aged 65 and over due to women’s higher life expectancy. By the age of 65, most women have been married and husbands are typically older than their wives. These two factors mean that more women than men become widowed, which may lead to living alone. In spite of this, the number of widowed women is falling due to life expectancy increasing faster for men compared with women."
POPPI,Living alone,Male,85-89,National prevalence applied,0.29,ONS (Labour Force Survey),2017,"Figures are taken from the Labour Force Survey (2017), Office for National Statistics, Table 6: People living alone by age and sex, UK 1996-2017. For those aged 65 and over, the larger proportion of those living alone were female (66.5%). This is partly because there are more women than men in the total population aged 65 and over due to women’s higher life expectancy. By the age of 65, most women have been married and husbands are typically older than their wives. These two factors mean that more women than men become widowed, which may lead to living alone. In spite of this, the number of widowed women is falling due to life expectancy increasing faster for men compared with women."
POPPI,Living alone,Male,90+,National prevalence applied,0.29,ONS (Labour Force Survey),2017,"Figures are taken from the Labour Force Survey (2017), Office for National Statistics, Table 6: People living alone by age and sex, UK 1996-2017. For those aged 65 and over, the larger proportion of those living alone were female (66.5%). This is partly because there are more women than men in the total population aged 65 and over due to women’s higher life expectancy. By the age of 65, most women have been married and husbands are typically older than their wives. These two factors mean that more women than men become widowed, which may lead to living alone. In spite of this, the number of widowed women is falling due to life expectancy increasing faster for men compared with women."
POPPI,Living alone,Female,65-69,National prevalence applied,0.29,ONS (Labour Force Survey),2017,"Figures are taken from the Labour Force Survey (2017), Office for National Statistics, Table 6: People living alone by age and sex, UK 1996-2017. For those aged 65 and over, the larger proportion of those living alone were female (66.5%). This is partly because there are more women than men in the total population aged 65 and over due to women’s higher life expectancy. By the age of 65, most women have been married and husbands are typically older than their wives. These two factors mean that more women than men become widowed, which may lead to living alone. In spite of this, the number of widowed women is falling due to life expectancy increasing faster for men compared with women."
POPPI,Living alone,Female,70-74,National prevalence applied,0.29,ONS (Labour Force Survey),2017,"Figures are taken from the Labour Force Survey (2017), Office for National Statistics, Table 6: People living alone by age and sex, UK 1996-2017. For those aged 65 and over, the larger proportion of those living alone were female (66.5%). This is partly because there are more women than men in the total population aged 65 and over due to women’s higher life expectancy. By the age of 65, most women have been married and husbands are typically older than their wives. These two factors mean that more women than men become widowed, which may lead to living alone. In spite of this, the number of widowed women is falling due to life expectancy increasing faster for men compared with women."
POPPI,Living alone,Female,75-79,National prevalence applied,0.5,ONS (Labour Force Survey),2017,"Figures are taken from the Labour Force Survey (2017), Office for National Statistics, Table 6: People living alone by age and sex, UK 1996-2017. For those aged 65 and over, the larger proportion of those living alone were female (66.5%). This is partly because there are more women than men in the total population aged 65 and over due to women’s higher life expectancy. By the age of 65, most women have been married and husbands are typically older than their wives. These two factors mean that more women than men become widowed, which may lead to living alone. In spite of this, the number of widowed women is falling due to life expectancy increasing faster for men compared with women."
POPPI,Living alone,Female,80-84,National prevalence applied,0.5,ONS (Labour Force Survey),2017,"Figures are taken from the Labour Force Survey (2017), Office for National Statistics, Table 6: People living alone by age and sex, UK 1996-2017. For those aged 65 and over, the larger proportion of those living alone were female (66.5%). This is partly because there are more women than men in the total population aged 65 and over due to women’s higher life expectancy. By the age of 65, most women have been married and husbands are typically older than their wives. These two factors mean that more women than men become widowed, which may lead to living alone. In spite of this, the number of widowed women is falling due to life expectancy increasing faster for men compared with women."
